year_month,area_code,pm25,pm10,o3,no2,so2,co,aqi
201403,3411,149,77,38,15,12,9,149
201403,3412,149,77,38,15,12,9,149
201403,3413,149,77,38,15,12,9,149
201403,3414,149,77,38,15,12,9,149
201403,3415,149,77,38,15,12,9,149
201403,3416,149,77,38,15,12,9,149
201403,3417,149,77,38,15,12,9,149
201403,3418,149,77,38,15,12,9,149
201403,3501,111,57,17,28,6,12,111
201403,3502,111,57,36,20,9,6,111
201403,3503,111,62,30,19,7,8,111
201403,3504,111,62,30,19,7,8,111
201403,3505,112,71,29,16,7,9,112
201403,3506,105,64,27,10,4,9,105
201403,3507,111,62,30,19,7,8,111
201403,3508,111,62,30,19,7,8,111
201403,3509,111,62,30,19,7,8,111
201403,3601,115,59,15,15,11,9,115
201403,3602,108,57,19,14,14,9,108
201403,3603,108,57,19,14,14,9,108
201403,3604,98,54,25,13,17,10,98
